file_id,audio_path,transcript,is_valid,channels,sample_rate,duration_sec,error
16k-emission_swahili_05h30_-_06h00_tu_20101124_part001g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part001g.wav,ya redio france internanational mimi ni zuhra mwera,True,1,16000,2.77,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part002m,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part002m.wav,marekani yasema iko tayari kuisaidia korea kusini kuikabili korea kaskazini,True,1,16000,4.26,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part003m,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part003m.wav,na tume ya uchaguzi nchini nigeria yataja tarehe ya uchaguzi mkuu wa nchi hiyo,True,1,16000,4.41,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part004g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part004g.wav,karibu katika awamu ya pili ya matangazo ya asubuhi,True,1,16000,3.25,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part005g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part005g.wav,wachimbaji wote ishirini na kenda ambao walikuwa wamekwama ndani ya mgodi wa makaa ya mawe nchini humo,True,1,16000,4.6,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part006g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part006g.wav,wanaeleza kupoteza maisha baada ya kutokea kwa mlipuko mwingine wa gesi,True,1,16000,3.51,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part007g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part007g.wav,mlipuko wa pili ambao umetokea ndani ya mgodi wa makaa ya mawe nchini new zealand,True,1,16000,4.09,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part008g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part008g.wav,utajwa kusababisha vifo vya wachimbaji wote ishirini na tisa,True,1,16000,3.04,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part009g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part009g.wav,ambao walikwama kutokana kuporomoka kwa mgodi huo,True,1,16000,2.76,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part010g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part010g.wav,hali hii inaeleza kudhoofisha juhudi zote ambazo zilikuwa zinachukuliwa na serikali,True,1,16000,3.86,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part011g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part011g.wav,kuhakikisha wanawaokoa wachimbaji hao ambao wamekwama kwa takriban juma moja,True,1,16000,4.51,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part012g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part012g.wav,mkuu wa polisi ambaye alikuwa anaongoza zoezi hilo,True,1,16000,2.45,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part013g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part013g.wav,iliyokuwa imezagaa ndio imesababisha vifo,True,1,16000,2.44,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part014g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part014g.wav,amewaambia pia waandishi yakuwa,True,1,16000,2.29,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part015g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part015g.wav,watahakikisha wanaiokoa miili yote ambayo imekwama,True,1,16000,2.81,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part016g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part016g.wav,wachimbaji ambao walikuwa wamenaswa chini ya udongo,True,1,16000,2.19,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part017g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part017g.wav,na mmoja kutoka nchini afrika kusini,True,1,16000,2.45,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part018g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part018g.wav,huku kumbukumbu zikionyesha mlipuko kwanza,True,1,16000,2.54,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part019g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part019g.wav,ulitokea mapema siku ya ijumaa,True,1,16000,2.2,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part020g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part020g.wav,rais wa marekani barack obama amekiri kuwa taifa la korea kaskazini ni hatari kwa usalama wa dunia,True,1,16000,5.84,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part021g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part021g.wav,kufuatia nchi hiyo kuwashambulia majirani zao korea kusini,True,1,16000,3.0,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part022g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part022g.wav,na kusababisha vifo vya wanajeshi wa taifa hilo,True,1,16000,2.64,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part023g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part023g.wav,rais obama amesema licha ya hali kuwa hivyo,True,1,16000,2.36,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part024g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part024g.wav,lakini nchi yake haina mpango wa kutumia nguvu za kijeshi kukabiliana na korea kaskazini,True,1,16000,4.38,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part025g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part025g.wav,na badala yake watafanya mahojiano na korea kusini,True,1,16000,2.43,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part026g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part026g.wav,tuko na ushirikiano imara na jukumu letu,True,1,16000,2.52,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part027g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part027g.wav,kuna taarifa kuwa vikosi vya korea kusini na marekani,True,1,16000,2.57,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part028g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part028g.wav,vitafanya mazoezi ya kijeshi kwa siku nne yatakayoanza jumapili ijayo,True,1,16000,3.76,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part029g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part029g.wav,ili kujiandaa na chochote kinachoweza kutokea,True,1,16000,2.87,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part030g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part030g.wav,tukiendelea kubaki katika sakata la korea kaskazini waziri mkuu wa japan nao tu khan,True,1,16000,4.34,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part031g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part031g.wav,ameitaka china kutumia ushawishi wake iliyonayo kwa korea kaskazini,True,1,16000,3.62,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part032g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part032g.wav,kusaidia kupunguza msuguano kati ya korea kaskazini na korea kusini,True,1,16000,3.62,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part033g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part033g.wav,waziri khan amekimbia kikosi maalum kilichoundwa kutazamwa kwa makini tukio la mashambulizi,True,1,16000,5.45,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part034g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part034g.wav,ya korea kaskazini kwa korea kusini yaliofanyika hapo jana,True,1,16000,2.81,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part035g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part035g.wav,kuwa tukio hilo limezua hofu katika eneo lote,True,1,16000,2.55,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part036g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part036g.wav,china inatajwa kukwepa mara kwa mara kuikosoa korea kaskazini,True,1,16000,3.53,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part037g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part037g.wav,familia za waliopoteza maisha nchini cambodia baada ya kukanyagana katika tamasha la kijadi,True,1,16000,4.82,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part038g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part038g.wav,leo wanatarajiwa kutoa heshima zao za mwisho kwa miili ya wapendwa wao,True,1,16000,3.63,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part039g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part039g.wav,familia nyingine bado zina haha kutafuta ndugu zao katika hospitali mba,True,1,16000,3.53,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part041g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part041g.wav,takriban watu mia tatu themanini wamepoteza maisha katika tukio hilo,True,1,16000,3.59,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part042g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part042g.wav,linaloelezwa na viongozi wa nchi hiyo kuwa mbaya zaidi kutokea,True,1,16000,3.28,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part043g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part043g.wav,tangu enzi za waasi wa khimrichi aliyeongoza mauaji,True,1,16000,3.28,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part044g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part044g.wav,ya robo ya wananchi wa nchi hiyo katika miaka ya sabini,True,1,16000,2.7,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part045g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part045g.wav,na vyama vya wafanyakazi nchini ureno vimepanga kufanya mgomo hii leo kupinga hatua,True,1,16000,4.57,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part046g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part046g.wav,hii ni mara ya kwanza katika kipindi cha miaka ishirini,True,1,16000,2.39,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part047g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part047g.wav,vyama vya wafanyakazi kuungana ili kufanya mgomo,True,1,16000,2.86,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part048g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part048g.wav,mgomo huo unafanyika siku mbili kabla ya bunge la nchi hiyo,True,1,16000,2.72,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part049g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part049g.wav,kupitisha kupiga kura juu ya kupunguza bajeti yake,True,1,16000,3.34,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part050g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part050g.wav,inaelezwa usafiri viwanda na huduma za shule,True,1,16000,2.44,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part052g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part052g.wav,kupata ukweli wa mambo msikilizaji sikiliza rfi kiswahili na kuhusu wakti ni,True,1,16000,4.98,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part053g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part053g.wav,saa mbili na dakika thelathini na tano kwa saa za afrika,True,1,16000,3.03,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part054g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part054g.wav,kupitia nambari hii alama ya kujumlisha mbili tano tano,True,1,16000,2.76,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part055g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part055g.wav,saba sita nne sifuri moja tano,True,1,16000,2.29,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part056g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part056g.wav,viongozi wa nchi sita zinazounda umoja wa maendeleo wa nchi za mashariki na pembe ya afrika igad,True,1,16000,4.93,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part057g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part057g.wav,wamekamilisha mkutano wao wa siku moja kwa kuelezea hofu zao juu ya mambo kadhaa,True,1,16000,4.3,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part058g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part058g.wav,ambayo baado hayajapatiwa ufumbuzi nchini sudan,True,1,16000,2.25,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part059g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part059g.wav,na yanayoelezwa kuwa yanaweza kuharibu utekelezaji wa mkataba wa amani wa sudan,True,1,16000,3.61,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part060g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part060g.wav,mwandishi wetu emanuel mbando anakuja na taarifa zaidi,True,1,16000,2.4,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part061g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part061g.wav,wameendelea kutaka pande zote mbili za sudan kumaliza tofauti zao,True,1,16000,3.84,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part062g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part062g.wav,wito huo umetolewa baada ya mkutano mkuu wa ana kwa ana,True,1,16000,3.17,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part063g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part063g.wav,waliokutana kabla ya mkutano maalumu uliopangwa,True,1,16000,2.44,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part064g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part064g.wav,mkutano wa viongozi hao wa sudan uliongozwa na waziri mkuu wa ethiopia,True,1,16000,3.23,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part065g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part065g.wav,ambapo rais wa zamani wa afrika kusini tabo mbeki,True,1,16000,3.12,
16k-emission_swahili_05h30_-_06h00_tu_20101124_part066g,data\raw\audio\16k-emission_swahili_05h30_-_06h00_tu_20101124_part066g.wav,waziri mkuu zenawi amewaambia waandishi kuwa,True,1,16000,2.95,
