id,transcript,intent,amount,recipient,service,ussd_sequence,is_synthetic
syn_0916,Niaje Weka elfu moja kwa 0798765432,SEND_MONEY,1000,0798765432,,*334# -> 1 -> 0798765432 -> 1000,True
syn_0571,Weka cash Ksh 500 hapa brathe,SEND_MONEY,500,brathe,,*334# -> 1 -> brathe -> 500,True
syn_0569,Buy bundles za mbao kwa 0712345678,BUY_BUNDLES,20,0712345678,,*334# -> 3 -> 2 -> 20,True
syn_0697,Send airtime ya soo mbili,BUY_AIRTIME,200,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 200,True
syn_0591,Tuma bob mbao kwa shosh,SEND_MONEY,20,shosh,,*334# -> 1 -> shosh -> 20,True
syn_0590,Lipa bill ya data Ksh 50,PAY_BILL,50,,data,*334# -> 2 -> 1 -> data -> [RECIPIENT] -> 50,True
syn_0357,Tuma chapaa soo tano airtime line hii,BUY_AIRTIME,500,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 500,True
syn_0683,Nataka kuangalia balance kwa token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0893,Balance ni gani kwa data,CHECK_BALANCE,,,data,*334# -> 6 -> 1,True
syn_0685,Lipia Zuku elfu 1500,PAY_BILL,1500,,Zuku,*334# -> 2 -> 1 -> Zuku -> [RECIPIENT] -> 1500,True
syn_0546,Tuma chapaa soo tano direct kwa 0712345678,SEND_MONEY,500,0712345678,,*334# -> 1 -> 0712345678 -> 500,True
syn_0243,Check salio KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0195,Lipa bill ya M-Pesa Ksh 2000,PAY_BILL,2000,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 2000,True
syn_0050,Paybill KPLC amount 50,PAY_BILL,50,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 50,True
syn_0950,Lipa bill ya M-Pesa Ksh 50,PAY_BILL,50,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 50,True
syn_0780,Lipia Safaricom elfu 50,PAY_BILL,50,,Safaricom,*334# -> 2 -> 1 -> Safaricom -> [RECIPIENT] -> 50,True
syn_0338,Niambie salio langu la token,CHECK_BALANCE,,,token,*334# -> 6 -> 1,True
syn_0130,Lipa bill ya KPLC Ksh 2000,PAY_BILL,2000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 2000,True
syn_0564,Niongeze token za elfu moja,BUY_BUNDLES,1000,,token,*334# -> 3 -> 2 -> 1000,True
syn_0781,Tuma punch direct kwa 0712345678,SEND_MONEY,100,0712345678,,*334# -> 1 -> 0712345678 -> 100,True
syn_0115,Lipia net elfu 500,PAY_BILL,500,,net,*334# -> 2 -> 1 -> net -> [RECIPIENT] -> 500,True
syn_0452,Niongeze soo mbili chali yangu,BUY_AIRTIME,200,chali yangu,,*334# -> 3 -> 1 -> chali yangu -> 200,True
syn_0429,Buy bundles za bob mbao kwa sis,BUY_BUNDLES,20,sis,,*334# -> 3 -> 2 -> 20,True
syn_0263,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0305,Paybill M-Pesa amount 100,PAY_BILL,100,,M-Pesa,*334# -> 2 -> 1 -> M-Pesa -> [RECIPIENT] -> 100,True
syn_0500,Lipa KPLC account 0700112233 amount 1500,PAY_BILL,1500,0700112233,KPLC,*334# -> 2 -> 1 -> KPLC -> 0700112233 -> 1500,True
syn_0548,Niambie salio langu la Safaricom,CHECK_BALANCE,,,Safaricom,*334# -> 6 -> 1,True
syn_0404,Nahitaji data bundles za fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0186,Tuma Ksh 100 to mama,SEND_MONEY,100,mama,,*334# -> 1 -> mama -> 100,True
syn_0684,Nipatie bundles ya fifty bob,BUY_BUNDLES,50,,,*334# -> 3 -> 2 -> 50,True
syn_0151,Weka cash fifty bob hapa sis,SEND_MONEY,50,sis,,*334# -> 1 -> sis -> 50,True
syn_0188,How much money is in my KPLC,CHECK_BALANCE,,,KPLC,*334# -> 6 -> 1,True
syn_0708,Check salio data,CHECK_BALANCE,,,data,*334# -> 6 -> 1,True
syn_0102,Lipa punch airtime line hii,BUY_AIRTIME,100,,,*334# -> 3 -> 1 -> [RECIPIENT] -> 100,True
syn_0366,Tuma 0700112233 chapaa soo tano,SEND_MONEY,500,0700112233,,*334# -> 1 -> 0700112233 -> 500,True
syn_0113,Nionyeshe balance,CHECK_BALANCE,,,,*334# -> 6 -> 1,True
syn_0811,Nitumie elfu mbili kwa shosh,SEND_MONEY,2000,shosh,,*334# -> 1 -> shosh -> 2000,True
syn_0782,Niongeze elfu mbili brathe,BUY_AIRTIME,2000,brathe,,*334# -> 3 -> 1 -> brathe -> 2000,True
syn_0907,Niongeze chapaa soo tano 0700112233,BUY_AIRTIME,500,0700112233,,*334# -> 3 -> 1 -> 0700112233 -> 500,True
syn_0658,How much money is in my M-Pesa,CHECK_BALANCE,,,M-Pesa,*334# -> 6 -> 1,True
syn_0852,Bao credit ya elfu mbili kwa 0722000000,BUY_AIRTIME,2000,0722000000,,*334# -> 3 -> 1 -> 0722000000 -> 2000,True
syn_0141,Niaje Send chapaa soo tano kwa 0722000000,SEND_MONEY,500,0722000000,,*334# -> 1 -> 0722000000 -> 500,True
syn_0583,Niambie salio langu la net,CHECK_BALANCE,,,net,*334# -> 6 -> 1,True
syn_0865,Lipa bill ya KPLC Ksh 2000,PAY_BILL,2000,,KPLC,*334# -> 2 -> 1 -> KPLC -> [RECIPIENT] -> 2000,True
syn_0506,Tuma Ksh 2000 to 0700112233,SEND_MONEY,2000,0700112233,,*334# -> 1 -> 0700112233 -> 2000,True
